Sat\Lum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
41,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,93,90,80,71,64,59,41,41,40,40,39,38,38,37,37,36,35,35,34,34,33,32,32,31,31,30,30,29,28,28,27,27,26,25,25,24,24,23,22,22,21,21,20,19,19,18,18,17,17,16,15,15,14,14,13,12,12,11,11,10,9,9,8,8,7,6,6,5,5,4,4,3,2,2,1,1,0
42,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,95,92,89,78,70,63,58,41,40,39,39,38,38,37,37,36,35,35,34,34,33,32,32,31,31,30,30,29,28,28,27,27,26,26,25,24,24,23,23,22,21,21,20,20,19,19,18,17,17,16,16,15,15,14,13,13,12,12,11,10,10,9,9,8,8,7,6,6,5,5,4,3,3,2,2,1,1,0
43,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,93,90,87,77,68,62,57,40,39,39,38,38,37,36,36,35,35,34,34,33,32,32,31,31,30,30,29,29,28,27,27,26,26,25,25,24,23,23,22,22,21,21,20,19,19,18,18,17,17,16,15,15,14,14,13,13,12,11,11,10,10,9,9,8,7,7,6,6,5,5,4,3,3,2,2,1,1,0
44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,95,91,88,86,76,67,60,56,39,39,38,38,37,36,36,35,35,34,34,33,32,32,31,31,30,30,29,29,28,27,27,26,26,25,25,24,24,23,22,22,21,21,20,20,19,18,18,17,17,16,16,15,15,14,13,13,12,12,11,11,10,10,9,8,8,7,7,6,6,5,4,4,3,3,2,2,1,1,0
45,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,96,93,90,87,84,74,66,59,55,39,38,37,37,36,36,35,35,34,34,33,32,32,31,31,30,30,29,29,28,28,27,26,26,25,25,24,24,23,23,22,21,21,20,20,19,19,18,18,17,17,16,15,15,14,14,13,13,12,12,11,10,10,9,9,8,8,7,7,6,6,5,4,4,3,3,2,2,1,1,0
46,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,95,91,88,85,83,73,65,58,54,38,37,37,36,36,35,35,34,33,33,32,32,31,31,30,30,29,29,28,28,27,26,26,25,25,24,24,23,23,22,22,21,21,20,19,19,18,18,17,17,16,16,15,15,14,14,13,12,12,11,11,10,10,9,9,8,8,7,6,6,5,5,4,4,3,3,2,2,1,1,0
47,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,93,90,86,84,81,72,64,57,53,37,37,36,36,35,34,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,25,25,24,24,23,23,22,22,21,21,20,20,19,19,18,17,17,16,16,15,15,14,14,13,13,12,12,11,11,10,10,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0
48,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,91,88,85,82,80,70,62,56,52,36,36,35,35,34,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,25,25,24,24,23,23,22,22,21,21,20,20,19,19,18,18,17,17,16,16,15,15,14,14,13,12,12,11,11,10,10,9,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0
49,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,89,86,83,81,78,69,61,55,51,36,35,35,34,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,26,25,24,24,23,23,22,22,21,21,20,20,19,19,18,18,17,17,16,16,15,15,14,14,13,13,12,12,11,11,10,10,9,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0
50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,88,85,82,79,77,68,60,54,50,35,35,34,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,26,25,25,24,24,23,23,22,22,21,21,20,20,19,19,18,18,17,17,16,16,15,15,14,14,13,13,12,12,11,11,10,10,9,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0
51,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,88,86,83,80,77,75,66,59,53,49,34,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,26,25,25,25,24,24,23,23,22,22,21,21,20,20,19,19,18,18,17,17,16,16,15,15,14,14,13,13,12,12,11,11,10,10,9,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
52,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,86,84,81,78,76,73,65,58,52,48,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,26,25,25,24,24,24,23,23,22,22,21,21,20,20,19,19,18,18,17,17,16,16,15,15,14,14,13,13,12,12,12,11,11,10,10,9,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
53,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,85,82,79,77,74,72,63,56,51,47,33,32,32,31,31,31,30,30,29,29,28,28,27,27,26,26,25,25,24,24,24,23,23,22,22,21,21,20,20,19,19,18,18,17,17,16,16,16,15,15,14,14,13,13,12,12,11,11,10,10,9,9,8,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,83,81,78,75,73,70,62,55,50,46,32,32,31,31,30,30,29,29,29,28,28,27,27,26,26,25,25,24,24,23,23,23,22,22,21,21,20,20,19,19,18,18,17,17,17,16,16,15,15,14,14,13,13,12,12,12,11,11,10,10,9,9,8,8,7,7,6,6,6,5,5,4,4,3,3,2,2,1,1,0,0
55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,81,79,76,73,71,69,61,54,49,45,32,31,31,30,30,29,29,28,28,27,27,27,26,26,25,25,24,24,23,23,23,22,22,21,21,20,20,19,19,18,18,18,17,17,16,16,15,15,14,14,14,13,13,12,12,11,11,10,10,9,9,9,8,8,7,7,6,6,5,5,5,4,4,3,3,2,2,1,1,0,0
56,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,79,77,74,72,70,67,59,53,48,44,31,30,30,29,29,29,28,28,27,27,26,26,26,25,25,24,24,23,23,22,22,22,21,21,20,20,19,19,18,18,18,17,17,16,16,15,15,15,14,14,13,13,12,12,11,11,11,10,10,9,9,8,8,7,7,7,6,6,5,5,4,4,4,3,3,2,2,1,1,0,0
57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,86,77,75,73,70,68,66,58,52,46,43,30,30,29,29,28,28,28,27,27,26,26,25,25,25,24,24,23,23,22,22,22,21,21,20,20,19,19,18,18,18,17,17,16,16,15,15,15,14,14,13,13,12,12,12,11,11,10,10,9,9,9,8,8,7,7,6,6,6,5,5,4,4,3,3,3,2,2,1,1,0,0
58,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,84,76,74,71,68,66,64,57,50,45,42,29,29,29,28,28,27,27,26,26,26,25,25,24,24,24,23,23,22,22,21,21,21,20,20,19,19,18,18,18,17,17,16,16,16,15,15,14,14,13,13,13,12,12,11,11,11,10,10,9,9,8,8,8,7,7,6,6,5,5,5,4,4,3,3,3,2,2,1,1,0,0
59,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,82,74,72,69,67,65,63,55,49,44,41,29,28,28,27,27,27,26,26,25,25,25,24,24,23,23,23,22,22,21,21,21,20,20,19,19,18,18,18,17,17,16,16,16,15,15,14,14,14,13,13,12,12,11,11,11,10,10,9,9,9,8,8,7,7,7,6,6,5,5,5,4,4,3,3,2,2,2,1,1,0,0
60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,80,72,70,68,65,63,61,54,48,43,40,28,28,27,27,26,26,26,25,25,24,24,24,23,23,22,22,22,21,21,20,20,20,19,19,18,18,18,17,17,16,16,16,15,15,14,14,14,13,13,12,12,12,11,11,10,10,10,9,9,8,8,8,7,7,6,6,6,5,5,4,4,4,3,3,2,2,2,1,1,0,0
61,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,78,70,68,66,64,62,60,53,47,42,39,27,27,27,26,26,25,25,25,24,24,23,23,23,22,22,21,21,21,20,20,20,19,19,18,18,18,17,17,16,16,16,15,15,14,14,14,13,13,12,12,12,11,11,11,10,10,9,9,9,8,8,7,7,7,6,6,5,5,5,4,4,4,3,3,2,2,2,1,1,0,0
62,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,87,76,68,67,64,62,60,58,51,46,41,38,27,26,26,25,25,25,24,24,24,23,23,22,22,22,21,21,21,20,20,19,19,19,18,18,17,17,17,16,16,16,15,15,14,14,14,13,13,13,12,12,11,11,11,10,10,10,9,9,8,8,8,7,7,6,6,6,5,5,5,4,4,3,3,3,2,2,2,1,1,0,0
63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,74,67,65,63,60,58,57,50,44,40,37,26,26,25,25,24,24,24,23,23,23,22,22,21,21,21,20,20,20,19,19,19,18,18,17,17,17,16,16,16,15,15,14,14,14,13,13,13,12,12,11,11,11,10,10,10,9,9,9,8,8,7,7,7,6,6,6,5,5,4,4,4,3,3,3,2,2,1,1,1,0,0
64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,83,72,65,63,61,59,57,55,49,43,39,36,25,25,24,24,24,23,23,23,22,22,22,21,21,21,20,20,19,19,19,18,18,18,17,17,17,16,16,15,15,15,14,14,14,13,13,13,12,12,12,11,11,10,10,10,9,9,9,8,8,8,7,7,6,6,6,5,5,5,4,4,4,3,3,3,2,2,1,1,1,0,0
