Dark2Grey,1,10
Dark2White,1,10
Dark2Black,1,10
Dark2Blue,1,10
Dark2Brown,1,10
Dark2BrownOrange,1,10
Dark2BrownPink,1,10
Dark2BrownPurple,1,10
Dark2BrownRed,1,10
Dark2BrownViolet,1,10
Dark2BrownYellow,1,10
Dark2Green,1,10
Dark2GreyBlue,1,10
Dark2GreyBrown,1,10
Dark2GreyBrownPink,1,10
Dark2GreyGreen,1,10
Dark2GreyOrange,1,10
Dark2GreyPink,1,10
Dark2GreyPinkViolet,2,10
Dark2GreyPurple,3,10
Dark2GreyViolet,2,10
Dark2GreyYellow,1,10
Dark2Orange,1,10
Dark2OrangePink,1,10
Dark2OrangeRed,1,10
Dark2Pink,1,10
Dark2PinkPurple,2,10
Dark2PinkRed,1,10
Dark2Purple,3,10
Dark2PurpleViolet,3,10
Dark2Red,1,10
Dark2RedViolet,1,10
Dark2Violet,2,10
Dark2Yellow,1,10
Dark3Grey,1,10
Dark3White,1,1
Dark3Black,1,10
Dark3Blue,1,8
Dark3Brown,1,4
Dark3BrownOrange,1,6
Dark3BrownPink,1,4
Dark3BrownPurple,1,6
Dark3BrownRed,1,4
Dark3BrownViolet,1,6
Dark3BrownYellow,1,6
Dark3Green,1,6
Dark3GreyBlue,1,6
Dark3GreyBrown,1,6
Dark3GreyBrownPink,1,6
Dark3GreyGreen,1,6
Dark3GreyOrange,1,6
Dark3GreyPink,1,4
Dark3GreyPinkViolet,2,6
Dark3GreyPurple,3,6
Dark3GreyViolet,2,6
Dark3GreyYellow,1,6
Dark3Orange,1,6
Dark3OrangePink,1,6
Dark3OrangeRed,1,6
Dark3Pink,1,4
Dark3PinkPurple,2,6
Dark3PinkRed,1,4
Dark3Purple,3,6
Dark3PurpleViolet,3,6
Dark3Red,1,6
Dark3RedViolet,1,6
Dark3Violet,2,6
Dark3Yellow,1,6
HighGrey,1,2
HighWhite,1,1
HighBlack,1,1
HighBlue,1,4
HighBrown,1,1
HighBrownOrange,1,1
HighBrownPink,1,1
HighBrownPurple,1,1
HighBrownRed,1,1
HighBrownViolet,1,1
HighBrownYelHigh,1,1
HighGreen,1,4
HighGreyBlue,1,4
HighGreyBrown,1,1
HighGreyBrownPink,1,1
HighGreyGreen,1,1
HighGreyOrange,1,1
HighGreyPink,1,2
HighGreyPinkViolet,2,4
HighGreyPurple,3,4
HighGreyViolet,2,4
HighGreyYellow,1,1
HighOrange,1,1
HighOrangePink,1,1
HighOrangeRed,1,1
HighPink,1,2
HighPinkPurple,2,4
HighPinkRed,1,2
HighPurple,3,4
HighPurpleViolet,3,4
HighRed,1,2
HighRedViolet,1,4
HighViolet,2,4
HighYellow,1,1
LowGrey,1,1
LowWhite,1,0.6
LowBlack,1,0.6
LowBlue,1,2
LowBrown,0.01,0.01
LowBrownOrange,0.01,0.01
LowBrownPink,0.01,0.01
LowBrownPurple,1,0.6
LowBrownRed,1,0.6
LowBrownViolet,1,0.6
LowBrownYellow,0.01,0.01
LowGreen,1,0.6
LowGreyBlue,1,0.6
LowGreyBrown,0.01,0.01
LowGreyBrownPink,0.01,0.01
LowGreyGreen,1,1
LowGreyOrange,1,1
LowGreyPink,1,1
LowGreyPinkViolet,2,2
LowGreyPurple,3,2
LowGreyViolet,2,2
LowGreyYellow,0.01,0.01
LowOrange,1,0.6
LowOrangePink,1,0.6
LowOrangeRed,1,1
LowPink,1,1
LowPinkPurple,2,2
LowPinkRed,1,1
LowPurple,3,2
LowPurpleViolet,3,1
LowRed,1,1
LowRedViolet,1,1
LowViolet,2,2
LowYellow,1,0.6
