Color,R,G,B,NormR,NormG,NormB,
Gray78Pink62,127,75,65,0.475655,0.280899,0.243446,clp8
Gray81Pink59,132,90,79,0.438538,0.299003,0.262458,clp8
Gray76Pink61,132,80,67,0.473118,0.286738,0.240143,clp8
Gray79Pink55,141,92,86,0.442006,0.288401,0.269592,clp8
Gray76Pink63,129,77,62,0.481343,0.287313,0.231343,clp8
Gray77Pink64,126,70,59,0.494118,0.27451,0.231373,clp8
Gray78Pink56,141,88,82,0.453376,0.282958,0.263666,clp8
Gray78Pink64,123,73,60,0.480469,0.285156,0.234375,clp8
Gray77Pink65,123,67,57,0.497976,0.271255,0.230769,clp8
Gray78Pink63,124,76,63,0.471483,0.288973,0.239544,clp8
Gray78Pink54,147,101,89,0.436202,0.299703,0.264095,clp8
Gray79Pink55,143,100,88,0.432024,0.302115,0.265861,clp8
Gray81Pink53,147,103,95,0.426087,0.298551,0.275362,clp8
Gray79Pink59,133,86,76,0.450847,0.291525,0.257627,clp8
Gray81Pink52,147,99,97,0.428571,0.28863,0.282799,clp8
Gray80Pink55,141,97,89,0.431193,0.296636,0.272171,clp8
Gray89Pink63,110,85,80,0.4,0.309091,0.290909,clp10
Gray89Pink56,125,102,97,0.385802,0.314815,0.299383,clp10
Gray88Pink61,116,91,84,0.398625,0.312715,0.28866,clp10
Gray90Pink60,116,90,89,0.39322,0.305085,0.301695,clp10
Gray90Pink61,115,86,86,0.400697,0.299652,0.299652,clp10
Gray88Pink64,108,75,77,0.415385,0.288462,0.296154,clp10
Gray90Pink58,121,98,95,0.38535,0.312102,0.302548,clp10
Gray90Pink55,128,107,101,0.380952,0.318452,0.300595,clp10
Gray87Pink61,117,88,82,0.407666,0.30662,0.285714,clp10
Gray87Pink62,114,87,80,0.405694,0.309609,0.284698,clp10
Gray88Pink68,99,71,64,0.423077,0.303419,0.273504,clp10
Gray90Pink70,92,67,60,0.420091,0.305936,0.273973,clp10
Gray90Pink66,101,78,72,0.40239,0.310757,0.286853,clp10
Gray83Pink57,133,93,86,0.426282,0.298077,0.275641,clp10
Gray85Pink54,139,105,98,0.406433,0.307018,0.28655,clp10
Gray82Pink59,128,88,80,0.432432,0.297297,0.27027,clp10
Gray67Pink43,167,125,120,0.40534,0.303398,0.291262,clp10
Gray73Pink46,160,119,115,0.406091,0.30203,0.291878,clp10
Gray71Pink44,162,121,119,0.402985,0.300995,0.29602,clp10
Gray70Pink43,163,125,122,0.397561,0.304878,0.297561,clp10
Gray73Pink44,159,123,120,0.395522,0.30597,0.298507,clp10
Gray71Pink46,161,116,112,0.413882,0.298201,0.287918,clp10
Gray76Pink47,157,117,115,0.403599,0.300771,0.29563,clp10
Gray74Pink47,160,113,112,0.415584,0.293506,0.290909,clp10
Gray79Pink48,154,113,113,0.405263,0.297368,0.297368,clp10
Gray78Pink48,155,110,110,0.413333,0.293333,0.293333,clp10
Gray82Pink50,151,106,105,0.417127,0.292818,0.290055,clp10
Gray76Pink46,156,117,119,0.397959,0.298469,0.303571,clp10
Gray77Pink46,155,122,119,0.391414,0.308081,0.300505,clp10
Gray80Pink49,152,110,108,0.410811,0.297297,0.291892,clp10
Gray82Pink51,146,105,102,0.413598,0.29745,0.288952,clp10
Gray83Pink50,148,109,106,0.407713,0.300275,0.292011,clp10
Gray82Pink49,150,112,110,0.403226,0.301075,0.295699,clp10
Gray78Pink47,154,118,116,0.396907,0.304124,0.298969,clp10
Gray80Pink53,145,101,93,0.427729,0.297935,0.274336,clp10
Gray81Pink51,149,107,101,0.417367,0.29972,0.282913,clp10
Gray76Pink62,130,73,64,0.486891,0.273408,0.2397,clp10
Gray78Pink56,141,96,83,0.440625,0.3,0.259375,clp10
Gray71Pink47,162,118,106,0.419689,0.305699,0.274611,clp10
Gray72Pink48,162,116,103,0.425197,0.304462,0.270341,clp10
Gray70Pink47,165,115,107,0.426357,0.297158,0.276486,clp10
Gray68Pink47,166,115,102,0.43342,0.300261,0.266319,clp10
Gray70Pink49,166,110,96,0.446237,0.295699,0.258065,clp10
Gray60Pink44,177,121,106,0.438119,0.299505,0.262376,clp10
Gray60Pink44,175,119,103,0.440806,0.299748,0.259446,clp10
Gray67Pink49,169,110,93,0.454301,0.295699,0.25,clp10
Gray62Pink46,174,116,102,0.443878,0.295918,0.260204,clp10
Gray49Pink40,188,116,120,0.443396,0.273585,0.283019,Psoriasis1
Gray50Pink41,186,113,117,0.447115,0.271635,0.28125,Psoriasis1
Gray58Pink43,179,106,111,0.45202,0.267677,0.280303,Psoriasis1
Gray59Pink43,178,109,112,0.446115,0.273183,0.280702,Psoriasis1
Gray58Pink43,179,114,115,0.438725,0.279412,0.281863,Psoriasis1
Gray72Pink49,162,96,98,0.455056,0.269663,0.275281,Psoriasis1
Gray76Pink55,149,83,85,0.470032,0.26183,0.268139,Psoriasis1
Gray65Pink46,171,105,107,0.446475,0.274151,0.279373,Psoriasis1
Gray74Pink52,155,89,91,0.462687,0.265672,0.271642,Psoriasis1
Gray65Pink47,171,98,105,0.457219,0.262032,0.280749,Psoriasis1
Gray43Pink37,195,125,127,0.436242,0.279642,0.284116,Psoriasis1
Gray50Pink40,188,120,122,0.437209,0.27907,0.283721,Psoriasis1
Gray62Pink44,173,107,109,0.44473,0.275064,0.280206,Psoriasis1
Gray60Pink43,175,109,111,0.443038,0.275949,0.281013,Psoriasis1
Gray53Pink41,184,119,121,0.433962,0.28066,0.285377,Psoriasis1
Gray74Pink51,157,91,94,0.459064,0.266082,0.274854,Psoriasis1
Gray68Pink47,168,102,105,0.448,0.272,0.28,Psoriasis1
Gray48Pink41,190,111,120,0.451306,0.263658,0.285036,Psoriasis1
Gray59Pink44,178,102,109,0.457584,0.262211,0.280206,Psoriasis1
Gray39Pink35,199,132,132,0.429806,0.285097,0.285097,Psoriasis1
Gray50Pink39,187,126,125,0.426941,0.287671,0.285388,Psoriasis1
Gray55Pink42,182,116,121,0.434368,0.27685,0.288783,Psoriasis1
Gray49Pink39,188,123,127,0.429224,0.280822,0.289954,Psoriasis1
Gray75Pink55,146,81,84,0.469453,0.26045,0.270096,Psoriasis1
Gray63Pink46,172,102,109,0.449086,0.266319,0.284595,Psoriasis1
Gray55Pink44,183,100,113,0.462121,0.252525,0.285354,Psoriasis1
Gray55Pink43,182,105,111,0.457286,0.263819,0.278894,Psoriasis1
Gray49Pink39,189,124,123,0.433486,0.284404,0.28211,Psoriasis1
Gray51Pink40,185,120,125,0.430233,0.27907,0.290698,Psoriasis1
Gray76Pink53,151,88,92,0.456193,0.265861,0.277946,Psoriasis1
Gray70Pink49,166,96,103,0.454795,0.263014,0.282192,Psoriasis1
Gray45Pink39,193,117,123,0.445727,0.270208,0.284065,Psoriasis1
Gray59Pink43,177,112,117,0.435961,0.275862,0.288177,Psoriasis1
Gray70Pink48,164,99,104,0.446866,0.269755,0.283379,Psoriasis1
Gray60Pink43,175,110,114,0.438596,0.275689,0.285714,Psoriasis1
Gray73Pink50,162,93,99,0.457627,0.262712,0.279661,Psoriasis1
Gray37Pink35,203,130,135,0.433761,0.277778,0.288462,Psoriasis1
Gray74Pink50,161,94,94,0.461318,0.269341,0.269341,Psoriasis1
Gray76Pink50,157,97,96,0.448571,0.277143,0.274286,Psoriasis1
Gray62Pink43,172,112,112,0.434343,0.282828,0.282828,Psoriasis1
Gray56Pink42,180,115,118,0.435835,0.27845,0.285714,Psoriasis1
Gray43Pink38,196,121,128,0.440449,0.27191,0.28764,Psoriasis1
Gray35Pink34,204,134,139,0.427673,0.280922,0.291405,Psoriasis1
Gray74Pink51,159,91,91,0.466276,0.266862,0.266862,Psoriasis1
Gray70Pink48,164,100,101,0.449315,0.273973,0.276712,Psoriasis1
Gray39Pink36,200,128,134,0.4329,0.277056,0.290043,Psoriasis1
Gray42Pink36,195,129,132,0.427632,0.282895,0.289474,Psoriasis1
Gray67Pink47,168,100,100,0.456522,0.271739,0.271739,Psoriasis1
Gray59Pink43,175,115,114,0.433168,0.284653,0.282178,Psoriasis1
Gray53Pink40,184,123,122,0.428904,0.286713,0.284382,Psoriasis1
Gray52Pink41,185,118,117,0.440476,0.280952,0.278571,Psoriasis1
Gray68Pink46,167,109,110,0.432642,0.282383,0.284974,Psoriasis1
Gray73Pink49,161,99,99,0.448468,0.275766,0.275766,Psoriasis1
Gray78Pink50,156,99,99,0.440678,0.279661,0.279661,Psoriasis1
Gray54Pink42,182,114,114,0.443902,0.278049,0.278049,Psoriasis1
Gray54Pink41,182,118,118,0.435407,0.282297,0.282297,Psoriasis1
Gray78Pink52,150,94,93,0.445104,0.278932,0.275964,Psoriasis1
Gray78Pink51,153,97,96,0.442197,0.280347,0.277457,Psoriasis1
Gray72Pink48,161,104,103,0.4375,0.282609,0.279891,Psoriasis1
Gray70Pink49,165,95,97,0.462185,0.266106,0.271709,Psoriasis1
Gray63Pink46,172,101,104,0.456233,0.267905,0.275862,Psoriasis1
Gray59Pink43,177,113,111,0.441397,0.281796,0.276808,Psoriasis1
Gray55Pink42,181,117,115,0.438257,0.283293,0.27845,Psoriasis1
Gray75Pink53,154,90,88,0.463855,0.271084,0.26506,Psoriasis1
Gray43Pink35,194,137,136,0.415418,0.293362,0.291221,Psoriasis1
Gray71Pink49,164,101,98,0.451791,0.278237,0.269972,Psoriasis1
Gray76Pink52,153,94,92,0.451327,0.277286,0.271386,Psoriasis1
Gray46Pink37,191,135,132,0.417031,0.29476,0.28821,Psoriasis1
Gray65Pink49,171,91,90,0.485795,0.258523,0.255682,Psoriasis1
Gray55Pink43,183,107,105,0.463291,0.270886,0.265823,Psoriasis1
Gray51Pink42,187,115,111,0.452785,0.27845,0.268765,Psoriasis1
Gray62Pink46,174,105,100,0.459103,0.277045,0.263852,Psoriasis1
Gray70Pink56,150,76,73,0.501672,0.254181,0.244147,Psoriasis1
Gray70Pink52,160,85,83,0.487805,0.259146,0.253049,Psoriasis1
Gray65Pink48,172,98,95,0.471233,0.268493,0.260274,Psoriasis1
Gray70Pink54,156,82,79,0.492114,0.258675,0.249211,Psoriasis1
Gray70Pink55,153,78,75,0.5,0.254902,0.245098,Psoriasis1
Gray71Pink52,162,88,85,0.483582,0.262687,0.253731,Psoriasis1
Gray60Pink46,176,100,98,0.470588,0.26738,0.262032,Psoriasis1
Gray50Pink42,188,112,109,0.459658,0.273839,0.266504,Psoriasis1
Gray54Pink43,184,109,108,0.458853,0.27182,0.269327,Psoriasis1
Gray66Pink47,171,101,101,0.458445,0.270777,0.270777,Psoriasis1
Gray59Pink43,176,110,108,0.446701,0.279188,0.274112,Psoriasis1
Gray63Pink44,172,112,108,0.438776,0.285714,0.27551,Psoriasis1
Gray54Pink43,183,102,102,0.472868,0.263566,0.263566,Psoriasis1
Gray65Pink48,172,94,93,0.479109,0.261838,0.259053,Psoriasis1
Gray72Pink51,161,91,88,0.473529,0.267647,0.258824,Psoriasis1
Gray68Pink49,167,92,91,0.477143,0.262857,0.26,Psoriasis1
Gray56Pink43,180,105,104,0.462725,0.269923,0.267352,Psoriasis1
Gray59Pink44,177,104,102,0.462141,0.27154,0.266319,Psoriasis1
Gray41Pink37,198,124,122,0.445946,0.279279,0.274775,Psoriasis1
Gray50Pink41,188,115,115,0.449761,0.27512,0.27512,Psoriasis1
Gray58Pink43,178,117,113,0.436275,0.286765,0.276961,Psoriasis1
Gray71Pink54,154,79,79,0.49359,0.253205,0.253205,Psoriasis1
Gray46Pink39,192,119,118,0.447552,0.277389,0.275058,Psoriasis1
Gray67Pink48,169,98,96,0.465565,0.269972,0.264463,Psoriasis1
Gray44Pink38,195,126,123,0.439189,0.283784,0.277027,Psoriasis1
Gray72Pink50,163,91,93,0.469741,0.262248,0.268012,Psoriasis1
Gray70Pink53,160,82,82,0.493827,0.253086,0.253086,Psoriasis1
Gray70Pink50,165,90,89,0.479651,0.261628,0.258721,Psoriasis1
Gray48Pink41,190,112,112,0.458937,0.270531,0.270531,Psoriasis1
Gray69Pink49,165,96,93,0.466102,0.271186,0.262712,Psoriasis1
Gray73Pink54,153,83,85,0.476636,0.258567,0.264798,Psoriasis1
Gray72Pink52,157,87,88,0.472892,0.262048,0.26506,Psoriasis1
Gray60Pink44,175,104,105,0.455729,0.270833,0.273438,Psoriasis1
Gray59Pink46,178,96,98,0.478495,0.258065,0.263441,Psoriasis1
Gray60Pink44,176,107,105,0.453608,0.275773,0.270619,Psoriasis1
Gray73Pink52,157,92,88,0.465875,0.272997,0.261128,Psoriasis1
Gray73Pink50,162,98,94,0.457627,0.276836,0.265537,Psoriasis1
Gray75Pink51,158,94,92,0.459302,0.273256,0.267442,Psoriasis1
Gray72Pink52,160,86,90,0.47619,0.255952,0.267857,Psoriasis1
Gray71Pink51,164,88,92,0.476744,0.255814,0.267442,Psoriasis1
Gray68Pink49,168,94,98,0.466667,0.261111,0.272222,Psoriasis1
Gray69Pink50,167,87,89,0.48688,0.253644,0.259475,Psoriasis1
Gray69Pink52,164,82,85,0.495468,0.247734,0.256798,Psoriasis1
Gray66Pink48,171,95,96,0.472376,0.262431,0.265193,Psoriasis1
Gray73Pink53,156,87,85,0.47561,0.265244,0.259146,Psoriasis1
Gray74Pink57,143,78,75,0.483108,0.263514,0.253378,Psoriasis1
Gray75Pink56,146,84,80,0.470968,0.270968,0.258065,Psoriasis1
Gray75Pink57,142,82,77,0.471761,0.272425,0.255814,Psoriasis1
Gray70Pink54,156,78,83,0.492114,0.246057,0.26183,Psoriasis1
Gray69Pink53,159,81,86,0.48773,0.248466,0.263804,Psoriasis1
Gray68Pink49,167,91,95,0.473088,0.25779,0.269122,Psoriasis1
Gray71Pink53,157,83,84,0.484568,0.256173,0.259259,Psoriasis1
Gray57Pink43,181,107,108,0.457071,0.270202,0.272727,Psoriasis1
Gray69Pink56,154,72,76,0.509934,0.238411,0.251656,Psoriasis1
Gray71Pink52,161,85,87,0.483483,0.255255,0.261261,Psoriasis1
Gray67Pink48,170,97,99,0.464481,0.265027,0.270492,Psoriasis1
Gray76Pink59,138,75,73,0.482517,0.262238,0.255245,Psoriasis1
Gray63Pink47,173,95,100,0.470109,0.258152,0.271739,Psoriasis1
Gray73Pink56,147,75,77,0.491639,0.250836,0.257525,Psoriasis1
Gray69Pink55,157,75,80,0.503205,0.240385,0.25641,Psoriasis1
Gray43Pink37,195,128,129,0.431416,0.283186,0.285398,Psoriasis1
Gray68Pink51,165,84,90,0.486726,0.247788,0.265487,Psoriasis1
Gray65Pink49,171,90,96,0.478992,0.252101,0.268908,Psoriasis1
Gray53Pink43,185,107,112,0.457921,0.264851,0.277228,Psoriasis1
Gray40Pink34,196,142,139,0.410901,0.297694,0.291405,Psoriasis1
Gray58Pink44,179,100,106,0.464935,0.25974,0.275325,Psoriasis1
Gray47Pink40,191,115,120,0.448357,0.269953,0.28169,Psoriasis1
Gray35Pink32,203,145,143,0.413442,0.295316,0.291242,Psoriasis1
Gray34Pink31,204,148,146,0.409639,0.297189,0.293173,Psoriasis1
Gray50Pink38,187,134,131,0.413717,0.29646,0.289823,Psoriasis1
Gray61Pink46,176,101,105,0.460733,0.264398,0.274869,Psoriasis1
Gray54Pink43,183,110,114,0.449631,0.27027,0.280098,Psoriasis1
Gray39Pink34,199,142,140,0.413721,0.295218,0.29106,Psoriasis1
Gray45Pink37,191,129,131,0.423503,0.286031,0.290466,Psoriasis1
Gray41Pink35,195,134,135,0.420259,0.288793,0.290948,Psoriasis1
Gray75Pink49,158,101,101,0.438889,0.280556,0.280556,Psoriasis1
Gray44Pink35,193,142,141,0.405462,0.298319,0.296218,Psoriasis1
Gray54Pink40,181,124,125,0.42093,0.288372,0.290698,Psoriasis1
Gray55Pink41,181,120,123,0.426887,0.283019,0.290094,Psoriasis1
Gray78Pink54,147,88,89,0.453704,0.271605,0.274691,Psoriasis1
Gray69Pink47,164,104,106,0.438503,0.278075,0.283422,Psoriasis1
Gray54Pink39,180,131,130,0.408163,0.297052,0.294785,Psoriasis1
Gray63Pink43,172,115,117,0.425743,0.284653,0.289604,Psoriasis1
Gray63Pink44,172,109,113,0.436548,0.27665,0.286802,Psoriasis1
Gray60Pink43,175,117,118,0.426829,0.285366,0.287805,Psoriasis1
Gray57Pink41,177,123,123,0.41844,0.29078,0.29078,Psoriasis1
Gray60Pink41,174,130,126,0.404651,0.302326,0.293023,Psoriasis1
Gray77Pink51,155,94,96,0.449275,0.272464,0.278261,Psoriasis1
Gray67Pink46,168,106,109,0.438642,0.276762,0.284595,Psoriasis1
Gray45Pink35,190,140,139,0.405117,0.298507,0.296375,Psoriasis1
Gray40Pink33,197,146,145,0.403689,0.29918,0.297131,Psoriasis1
Gray43Pink35,194,138,139,0.41189,0.292994,0.295117,Psoriasis1
Gray74Pink49,160,101,104,0.438356,0.276712,0.284932,Psoriasis1
Gray75Pink50,159,96,100,0.447887,0.270423,0.28169,Psoriasis1
Gray66Pink44,167,111,113,0.42711,0.283887,0.289003,Psoriasis1
Gray37Pink32,200,148,147,0.40404,0.29899,0.29697,Psoriasis1
Gray30Pink29,207,154,154,0.401942,0.299029,0.299029,Psoriasis1
Gray39Pink33,199,143,143,0.410309,0.294845,0.294845,Psoriasis1
Gray51Pink39,185,128,130,0.417607,0.288939,0.293454,Psoriasis1
Gray58Pink42,176,119,121,0.423077,0.286058,0.290865,Psoriasis1
Gray51Pink39,184,125,127,0.422018,0.286697,0.291284,Psoriasis1
Gray62Pink43,173,112,117,0.430348,0.278607,0.291045,Psoriasis1
Gray77Pink55,146,85,90,0.454829,0.264798,0.280374,Psoriasis1
Gray77Pink56,142,81,86,0.459547,0.262136,0.278317,Psoriasis1
Gray75Pink51,158,93,99,0.451429,0.265714,0.282857,Psoriasis1
Gray75Pink53,154,88,94,0.458333,0.261905,0.279762,Psoriasis1
Gray74Pink54,151,84,91,0.46319,0.257669,0.279141,Psoriasis1
Gray35Pink32,204,145,147,0.41129,0.292339,0.296371,Psoriasis1
Gray45Pink36,191,133,135,0.416122,0.28976,0.294118,Psoriasis1
Gray74Pink52,157,90,97,0.456395,0.261628,0.281977,Psoriasis1
Gray48Pink38,188,127,129,0.423423,0.286036,0.290541,Psoriasis1
Gray72Pink49,162,97,102,0.448753,0.268698,0.282548,Psoriasis1
Gray61Pink44,174,106,114,0.441624,0.269036,0.28934,Psoriasis1
Gray65Pink46,171,105,112,0.440722,0.270619,0.28866,Psoriasis1
Gray74Pink54,151,86,84,0.470405,0.267913,0.261682,Psoriasis1
Gray74Pink55,149,84,81,0.474522,0.267516,0.257962,Psoriasis1
Gray72Pink50,163,94,91,0.468391,0.270115,0.261494,Psoriasis1
Gray73Pink57,147,78,74,0.491639,0.26087,0.247492,Psoriasis1
Gray46Pink38,191,126,130,0.427293,0.281879,0.290828,Psoriasis1
Gray75Pink54,151,85,88,0.466049,0.262346,0.271605,Psoriasis1
Gray57Pink43,180,112,119,0.437956,0.272506,0.289538,Psoriasis1
Gray53Pink41,184,116,124,0.433962,0.273585,0.292453,Psoriasis1
Gray75Pink58,142,74,77,0.484642,0.25256,0.262799,Psoriasis1
Gray74Pink55,151,81,87,0.473354,0.253918,0.272727,Psoriasis1
Gray56Pink43,180,112,109,0.448878,0.279302,0.27182,Psoriasis1
Gray73Pink53,154,84,90,0.469512,0.256098,0.27439,Psoriasis1
Gray72Pink50,164,93,102,0.456825,0.259053,0.284123,Psoriasis1
Gray68Pink48,168,99,107,0.449198,0.264706,0.286096,Psoriasis1
Gray54Pink42,183,114,117,0.442029,0.275362,0.282609,Psoriasis1
Gray72Pink52,157,87,93,0.465875,0.25816,0.275964,Psoriasis1
Gray72Pink51,160,89,98,0.461095,0.256484,0.282421,Psoriasis1
Gray40Pink35,199,135,136,0.423404,0.287234,0.289362,Psoriasis1
Gray74Pink56,147,78,80,0.481967,0.255738,0.262295,Psoriasis1
Gray71Pink55,151,76,81,0.49026,0.246753,0.262987,Psoriasis1
Gray72Pink55,153,79,83,0.485714,0.250794,0.263492,Psoriasis1
Gray72Pink57,146,72,76,0.496599,0.244898,0.258503,Psoriasis1
Gray75Pink52,154,91,97,0.450292,0.266082,0.283626,Psoriasis1
Gray49Pink42,189,106,113,0.463235,0.259804,0.276961,Psoriasis1
Gray69Pink56,151,71,78,0.503333,0.236667,0.26,Psoriasis1
Gray69Pink50,167,88,94,0.47851,0.252149,0.269341,Psoriasis1
Gray59Pink44,177,103,112,0.451531,0.262755,0.285714,Psoriasis1
Gray65Pink47,171,100,112,0.446475,0.261097,0.292428,Psoriasis1
Gray76Pink53,150,88,95,0.45045,0.264264,0.285285,Psoriasis1
Gray74Pink49,160,100,107,0.435967,0.27248,0.291553,Psoriasis1
Gray58Pink42,178,120,126,0.419811,0.283019,0.29717,Psoriasis1
Gray76Pink53,151,90,89,0.457576,0.272727,0.269697,Psoriasis1
Gray61Pink46,175,98,104,0.464191,0.259947,0.275862,Psoriasis1
Gray64Pink47,171,97,102,0.462162,0.262162,0.275676,Psoriasis1
Gray66Pink44,168,112,110,0.430769,0.287179,0.282051,Psoriasis1
Gray71Pink53,158,84,87,0.480243,0.255319,0.264438,Psoriasis1
Gray72Pink55,150,78,77,0.491803,0.255738,0.252459,Psoriasis1
Gray70Pink56,151,72,74,0.508418,0.242424,0.249158,Psoriasis1
Gray70Pink57,148,72,70,0.510345,0.248276,0.241379,Psoriasis1
Gray71Pink59,145,67,66,0.521583,0.241007,0.23741,Psoriasis1
Gray69Pink57,151,71,70,0.517123,0.243151,0.239726,Psoriasis1
Gray70Pink55,156,76,76,0.506494,0.246753,0.246753,Psoriasis1
Gray71Pink60,140,65,62,0.524345,0.243446,0.23221,Psoriasis1
Gray70Pink58,148,68,67,0.522968,0.240283,0.236749,Psoriasis1
Gray69Pink53,161,80,79,0.503125,0.25,0.246875,Psoriasis1
Gray59Pink46,178,97,95,0.481081,0.262162,0.256757,Psoriasis1
Gray52Pink43,187,107,106,0.4675,0.2675,0.265,Psoriasis1
Gray69Pink52,164,85,83,0.493976,0.256024,0.25,Psoriasis1
Gray49Pink42,190,109,108,0.46683,0.267813,0.265356,Psoriasis1
Gray41Pink38,199,119,118,0.456422,0.272936,0.270642,Psoriasis1
Gray61Pink47,175,95,94,0.480769,0.260989,0.258242,Psoriasis1
Gray70Pink51,165,87,86,0.488166,0.257396,0.254438,Psoriasis1
Gray58Pink44,179,100,100,0.472296,0.263852,0.263852,Psoriasis1
Gray70Pink55,153,75,76,0.503289,0.246711,0.25,Psoriasis1
Gray76Pink60,134,69,73,0.485507,0.25,0.264493,Psoriasis1
Gray41Pink35,197,136,141,0.415612,0.28692,0.297468,Psoriasis1
Gray75Pink57,142,77,81,0.473333,0.256667,0.27,Psoriasis1
Gray32Pink31,207,143,145,0.418182,0.288889,0.292929,Psoriasis1
Gray23Pink27,218,152,157,0.413662,0.288425,0.297913,Psoriasis1
Gray77Pink66,119,53,58,0.517391,0.230435,0.252174,Psoriasis1
Gray77Pink62,129,65,69,0.490494,0.247148,0.262357,Psoriasis1
Gray78Pink65,122,57,63,0.504132,0.235537,0.260331,Psoriasis1
Gray31Pink30,209,150,152,0.409002,0.293542,0.297456,Psoriasis1
Gray33Pink31,205,147,151,0.407555,0.292247,0.300199,Psoriasis1
Gray69Pink62,138,63,54,0.541176,0.247059,0.211765,Psoriasis1
Gray69Pink62,140,59,54,0.55336,0.233202,0.213439,Psoriasis1
Gray68Pink61,142,55,56,0.561265,0.217391,0.221344,Psoriasis1
Gray72Pink62,136,58,63,0.529183,0.225681,0.245136,Psoriasis1
Gray70Pink63,138,52,55,0.563265,0.212245,0.22449,Psoriasis1
Gray72Pink64,130,52,55,0.548523,0.219409,0.232068,Psoriasis1
Gray69Pink62,141,63,53,0.548638,0.245136,0.206226,Psoriasis1
Gray68Pink61,143,61,55,0.552124,0.235521,0.212355,Psoriasis1
Gray68Pink60,146,60,58,0.55303,0.227273,0.219697,Psoriasis1
Gray70Pink61,143,58,59,0.55,0.223077,0.226923,Psoriasis1
Gray72Pink63,134,56,58,0.540323,0.225806,0.233871,Psoriasis1
Gray67Pink60,147,64,57,0.548507,0.238806,0.212687,Psoriasis1
Gray66Pink57,154,67,65,0.538462,0.234266,0.227273,Psoriasis1
Gray68Pink56,155,70,70,0.525424,0.237288,0.237288,Psoriasis1
Gray67Pink61,146,65,54,0.550943,0.245283,0.203774,Psoriasis1
Gray66Pink58,152,68,61,0.540925,0.241993,0.217082,Psoriasis1
Gray66Pink55,159,72,69,0.53,0.24,0.23,Psoriasis1
Gray68Pink54,161,76,75,0.516026,0.24359,0.240385,Psoriasis1
Gray69Pink54,158,78,78,0.503185,0.248408,0.248408,Psoriasis1
Gray65Pink57,155,69,62,0.541958,0.241259,0.216783,Psoriasis1
Gray64Pink55,163,78,69,0.525806,0.251613,0.222581,Psoriasis1
Gray67Pink56,156,73,68,0.525253,0.245791,0.228956,Psoriasis1
Gray70Pink60,143,63,61,0.535581,0.235955,0.228464,Psoriasis1
Gray72Pink61,138,60,60,0.534884,0.232558,0.232558,Psoriasis1
Gray60Pink44,176,111,104,0.450128,0.283887,0.265985,Psoriasis1
Gray46Pink36,191,136,137,0.411638,0.293103,0.295259,Psoriasis1
Gray43Pink35,194,139,142,0.408421,0.292632,0.298947,Psoriasis1
Gray49Pink37,185,134,137,0.405702,0.29386,0.300439,Psoriasis1
Gray53Pink41,183,121,117,0.434679,0.287411,0.27791,Psoriasis1
Gray36Pink32,201,145,146,0.408537,0.294715,0.296748,Psoriasis1
Gray32Pink30,206,151,153,0.403922,0.296078,0.3,Psoriasis1
Gray42Pink34,195,143,145,0.403727,0.296066,0.300207,Psoriasis1
Gray67Pink48,168,101,97,0.459016,0.275956,0.265027,Psoriasis1
Gray34Pink31,205,150,149,0.406746,0.297619,0.295635,Psoriasis1
Gray29Pink29,210,154,156,0.403846,0.296154,0.3,Psoriasis1
Gray73Pink53,155,92,85,0.466867,0.277108,0.256024,Psoriasis1
Gray75Pink50,159,100,96,0.447887,0.28169,0.270423,Psoriasis1
Gray62Pink43,173,115,111,0.433584,0.288221,0.278195,Psoriasis1
Gray68Pink47,166,109,102,0.440318,0.289125,0.270557,Psoriasis1
Gray47Pink38,190,129,126,0.426966,0.289888,0.283146,Psoriasis1
Gray59Pink43,177,116,110,0.439206,0.287841,0.272953,Psoriasis1
Gray72Pink54,153,89,80,0.475155,0.276398,0.248447,Psoriasis1
Gray72Pink56,150,86,76,0.480769,0.275641,0.24359,Psoriasis1
Gray71Pink53,158,92,83,0.474474,0.276276,0.249249,Psoriasis1
Gray70Pink50,164,97,89,0.468571,0.277143,0.254286,Psoriasis1
Gray67Pink48,169,101,94,0.464286,0.277473,0.258242,Psoriasis1
Gray69Pink51,164,91,85,0.482353,0.267647,0.25,Psoriasis1
Gray73Pink57,146,81,73,0.486667,0.27,0.243333,Psoriasis1
Gray72Pink52,160,95,86,0.469208,0.278592,0.252199,Psoriasis1
Gray56Pink43,181,113,105,0.453634,0.283208,0.263158,Psoriasis1
Gray69Pink53,158,86,80,0.487654,0.265432,0.246914,Psoriasis1
Gray64Pink47,172,108,99,0.453826,0.28496,0.261214,Psoriasis1
Gray68Pink49,168,98,92,0.469274,0.273743,0.256983,Psoriasis1
Gray70Pink55,153,82,76,0.491961,0.263666,0.244373,Psoriasis1
Gray72Pink50,163,100,91,0.460452,0.282486,0.257062,Psoriasis1
Gray71Pink57,147,76,70,0.501706,0.259386,0.238908,Psoriasis1
Gray61Pink46,175,111,101,0.452196,0.286822,0.260982,Psoriasis1
Gray72Pink54,155,91,82,0.472561,0.277439,0.25,Psoriasis1
Gray73Pink53,156,95,86,0.462908,0.281899,0.255193,Psoriasis1
Gray70Pink51,164,94,87,0.475362,0.272464,0.252174,Psoriasis1
Gray58Pink44,180,109,103,0.459184,0.278061,0.262755,Psoriasis1
Gray65Pink48,172,103,95,0.464865,0.278378,0.256757,Psoriasis1
